# cpu,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz
# logical_cores,8
# ram_gb,7.75
# compiler,MSVC 1944
# build,Release/RelWithDebInfo (NDEBUG)
# timestamp,2026-08-27T11:17:56
case_id,scramble,scramble_length,known_optimal,config,solver,heuristic,order_moves,threads,time_limit_ms,solution_length,milliseconds,nodes_expanded,nodes_generated,nodes_pruned,moves_skipped,iterations,initial_heuristic,final_threshold,proven_lower_bound,peak_memory_bytes,status,verified
d6-0,R B2 L2 U' D' R2,6,6,ida-no-heuristic,korf-ida*,none,0,1,300000,6,151.024,2731826,2731820,0,951879,7,0,6,6,359104512,optimal,1
d6-1,U2 R U F' U B',6,6,ida-no-heuristic,korf-ida*,none,0,1,300000,6,482.206,7842925,7842919,0,2732946,7,0,6,6,359104512,optimal,1
d6-2,B' U2 L' D' R L',6,6,ida-no-heuristic,korf-ida*,none,0,1,300000,6,200.058,3563691,3563685,0,1241763,7,0,6,6,359104512,optimal,1
d6-3,L' D F' U' L' D2,6,6,ida-no-heuristic,korf-ida*,none,0,1,300000,6,353.632,5906943,5906937,0,2058318,7,0,6,6,359104512,optimal,1
d8-2,U' R2 D2 R' U2 L2 U B',8,6,ida-no-heuristic,korf-ida*,none,0,1,300000,6,431.132,7929757,7929751,0,2763201,7,0,6,6,359104512,optimal,1
d6-0,R B2 L2 U' D' R2,6,6,ida-corner-pdb,korf-ida*,corner PDB,0,1,300000,6,0.124,70,737,668,252,2,5,6,6,359104512,optimal,1
d6-1,U2 R U F' U B',6,6,ida-corner-pdb,korf-ida*,corner PDB,0,1,300000,6,0.023,12,103,91,24,1,6,6,6,359104512,optimal,1
d6-2,B' U2 L' D' R L',6,6,ida-corner-pdb,korf-ida*,corner PDB,0,1,300000,6,0.086,59,636,578,216,2,5,6,6,359104512,optimal,1
d6-3,L' D F' U' L' D2,6,6,ida-corner-pdb,korf-ida*,corner PDB,0,1,300000,6,0.023,20,189,169,66,1,6,6,6,359104512,optimal,1
d8-0,D2 B' R' B2 U F' L2 D',8,8,ida-corner-pdb,korf-ida*,corner PDB,0,1,300000,8,0.069,57,613,556,207,1,8,8,8,359104512,optimal,1
d8-1,D2 B L' D F2 D' R L2,8,8,ida-corner-pdb,korf-ida*,corner PDB,0,1,300000,8,0.266,229,2609,2381,885,2,7,8,8,359104512,optimal,1
d8-2,U' R2 D2 R' U2 L2 U B',8,6,ida-corner-pdb,korf-ida*,corner PDB,0,1,300000,6,0.019,10,82,72,24,1,6,6,6,359104512,optimal,1
d8-3,R' B' D' B D B' U2 D',8,8,ida-corner-pdb,korf-ida*,corner PDB,0,1,300000,8,0.121,60,649,590,213,2,7,8,8,359104512,optimal,1
d10-0,F' B' U' D L' F D' F B2 U2,10,10,ida-corner-pdb,korf-ida*,corner PDB,0,1,300000,10,181.527,149363,1744728,1595370,627264,6,5,10,10,359104512,optimal,1
d10-1,U' B2 D' F' B2 D L' U' B2 U,10,10,ida-corner-pdb,korf-ida*,corner PDB,0,1,300000,10,13.827,9317,106301,96986,36789,3,8,10,10,359104512,optimal,1
d10-2,F2 B' U2 R' D F2 R' L2 F2 B,10,10,ida-corner-pdb,korf-ida*,corner PDB,0,1,300000,10,44.421,31179,360835,329659,125943,4,7,10,10,359104512,optimal,1
d10-3,R D2 R L2 B L F L2 B2 D,10,10,ida-corner-pdb,korf-ida*,corner PDB,0,1,300000,10,13.630,14382,162860,148479,55890,2,9,10,10,359104512,optimal,1
d11-0,B' L D' R2 B2 U L' B U2 R B',11,11,ida-corner-pdb,korf-ida*,corner PDB,0,1,300000,11,186.374,171922,1964911,1792991,675558,3,9,11,11,359104512,optimal,1
d11-1,R D2 B2 L D R' B' R2 F2 L2 B',11,11,ida-corner-pdb,korf-ida*,corner PDB,0,1,300000,11,179.106,159011,1808791,1649782,616995,3,9,11,11,359104512,optimal,1
d11-2,L2 U' F2 D L D' L B' R' F L2,11,11,ida-corner-pdb,korf-ida*,corner PDB,0,1,300000,11,74.626,68745,778909,710165,262869,2,10,11,11,359104512,optimal,1
