# cpu,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz
# logical_cores,8
# ram_gb,7.75
# compiler,MSVC 1944
# build,Release/RelWithDebInfo (NDEBUG)
# timestamp,2026-08-27T11:18:22
case_id,scramble,scramble_length,known_optimal,config,solver,heuristic,order_moves,threads,time_limit_ms,solution_length,milliseconds,nodes_expanded,nodes_generated,nodes_pruned,moves_skipped,iterations,initial_heuristic,final_threshold,proven_lower_bound,peak_memory_bytes,status,verified
d6-0,R B2 L2 U' D' R2,6,6,ida-1-thread,korf-ida*,max of 3 PDBs,0,1,300000,6,0.010,6,38,32,15,1,6,6,6,103616512,optimal,1
d6-1,U2 R U F' U B',6,6,ida-1-thread,korf-ida*,max of 3 PDBs,0,1,300000,6,0.008,6,31,25,6,1,6,6,6,103616512,optimal,1
d6-2,B' U2 L' D' R L',6,6,ida-1-thread,korf-ida*,max of 3 PDBs,0,1,300000,6,0.011,6,45,39,15,1,6,6,6,103616512,optimal,1
d6-3,L' D F' U' L' D2,6,6,ida-1-thread,korf-ida*,max of 3 PDBs,0,1,300000,6,0.009,6,39,33,18,1,6,6,6,103616512,optimal,1
d8-0,D2 B' R' B2 U F' L2 D',8,8,ida-1-thread,korf-ida*,max of 3 PDBs,0,1,300000,8,0.016,9,79,70,21,1,8,8,8,103616512,optimal,1
d8-1,D2 B L' D F2 D' R L2,8,8,ida-1-thread,korf-ida*,max of 3 PDBs,0,1,300000,8,0.026,13,140,128,42,2,7,8,8,103616512,optimal,1
d8-2,U' R2 D2 R' U2 L2 U B',8,6,ida-1-thread,korf-ida*,max of 3 PDBs,0,1,300000,6,0.009,6,43,37,9,1,6,6,6,103620608,optimal,1
d8-3,R' B' D' B D B' U2 D',8,8,ida-1-thread,korf-ida*,max of 3 PDBs,0,1,300000,8,0.019,10,94,85,30,2,7,8,8,103620608,optimal,1
d10-0,F' B' U' D L' F D' F B2 U2,10,10,ida-1-thread,korf-ida*,max of 3 PDBs,0,1,300000,10,0.276,92,1203,1113,369,3,8,10,10,103620608,optimal,1
d10-1,U' B2 D' F' B2 D L' U' B2 U,10,10,ida-1-thread,korf-ida*,max of 3 PDBs,0,1,300000,10,0.211,90,1133,1045,405,3,8,10,10,103620608,optimal,1
d10-2,F2 B' U2 R' D F2 R' L2 F2 B,10,10,ida-1-thread,korf-ida*,max of 3 PDBs,0,1,300000,10,0.434,170,2212,2044,762,3,8,10,10,103620608,optimal,1
d10-3,R D2 R L2 B L F L2 B2 D,10,10,ida-1-thread,korf-ida*,max of 3 PDBs,0,1,300000,10,0.937,297,3959,3663,1329,2,9,10,10,103620608,optimal,1
d11-0,B' L D' R2 B2 U L' B U2 R B',11,11,ida-1-thread,korf-ida*,max of 3 PDBs,0,1,300000,11,3.375,1464,19486,18024,6789,3,9,11,11,103620608,optimal,1
d11-1,R D2 B2 L D R' B' R2 F2 L2 B',11,11,ida-1-thread,korf-ida*,max of 3 PDBs,0,1,300000,11,9.062,2680,35914,33236,12252,3,9,11,11,103620608,optimal,1
d11-2,L2 U' F2 D L D' L B' R' F L2,11,11,ida-1-thread,korf-ida*,max of 3 PDBs,0,1,300000,11,2.465,1098,14719,13622,4965,2,10,11,11,103620608,optimal,1
d11-3,D F R2 B R F' B U2 D' F' U,11,11,ida-1-thread,korf-ida*,max of 3 PDBs,0,1,300000,11,2.704,1183,15574,14395,5619,5,7,11,11,103620608,optimal,1
d12-0,B U B D B' D' B2 R2 F2 L' U B,12,12,ida-1-thread,korf-ida*,max of 3 PDBs,0,1,300000,12,77.575,26185,348996,322814,122259,4,9,12,12,103620608,optimal,1
d12-1,L2 B L B' D' F' D2 F' B' U B U',12,12,ida-1-thread,korf-ida*,max of 3 PDBs,0,1,300000,12,26.100,9658,128536,118882,45228,5,8,12,12,103620608,optimal,1
d12-2,B D2 L B' D2 B' L2 F' L U' R' B',12,12,ida-1-thread,korf-ida*,max of 3 PDBs,0,1,300000,12,75.955,24399,326118,301722,112992,4,9,12,12,103620608,optimal,1
d12-3,D2 F L B2 R L' B' L2 U2 D2 B' R',12,12,ida-1-thread,korf-ida*,max of 3 PDBs,0,1,300000,12,52.392,14665,195482,180821,68406,5,8,12,12,103620608,optimal,1
d13-0,R' U' L2 F D2 R D' R2 U' L F L2 D',13,13,ida-1-thread,korf-ida*,max of 3 PDBs,0,1,300000,13,418.879,146482,1955452,1808974,681099,5,9,13,13,103620608,optimal,1
d13-1,R F D R L B' L2 F' B' D2 B' D' R',13,13,ida-1-thread,korf-ida*,max of 3 PDBs,0,1,300000,13,219.688,75735,1011523,935792,351615,5,9,13,13,103620608,optimal,1
d13-2,U' R2 B L' F2 D' L U L' B2 U F2 B,13,13,ida-1-thread,korf-ida*,max of 3 PDBs,0,1,300000,13,505.818,158848,2122920,1964076,736242,5,9,13,13,103620608,optimal,1
d13-3,B R F R2 B' D' B' L' U R' B D2 F,13,13,ida-1-thread,korf-ida*,max of 3 PDBs,0,1,300000,13,539.176,178828,2382753,2203930,836055,6,8,13,13,103620608,optimal,1
d6-0,R B2 L2 U' D' R2,6,6,ida-2-thread,korf-ida*,max of 3 PDBs,0,2,300000,6,1.428,6,51,45,15,1,6,6,6,103821312,optimal,1
d6-1,U2 R U F' U B',6,6,ida-2-thread,korf-ida*,max of 3 PDBs,0,2,300000,6,0.271,6,31,25,6,1,6,6,6,103821312,optimal,1
d6-2,B' U2 L' D' R L',6,6,ida-2-thread,korf-ida*,max of 3 PDBs,0,2,300000,6,0.199,6,45,39,15,1,6,6,6,103821312,optimal,1
d6-3,L' D F' U' L' D2,6,6,ida-2-thread,korf-ida*,max of 3 PDBs,0,2,300000,6,0.197,6,39,33,18,1,6,6,6,103821312,optimal,1
d8-0,D2 B' R' B2 U F' L2 D',8,8,ida-2-thread,korf-ida*,max of 3 PDBs,0,2,300000,8,0.396,9,79,70,21,1,8,8,8,103821312,optimal,1
