# cpu,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz
# logical_cores,8
# ram_gb,7.75
# compiler,MSVC 1944
# build,Release/RelWithDebInfo (NDEBUG)
# timestamp,2026-08-27T11:18:44
case_id,scramble,scramble_length,known_optimal,config,solver,heuristic,order_moves,threads,time_limit_ms,solution_length,milliseconds,nodes_expanded,nodes_generated,nodes_pruned,moves_skipped,iterations,initial_heuristic,final_threshold,proven_lower_bound,peak_memory_bytes,status,verified
d10-0,F' B' U' D L' F D' F B2 U2,10,-1,kociemba-first,kociemba-two-phase,two-phase pruning tables,0,1,0,24,3.864,46049,46049,0,0,9,-1,-1,-1,103608320,solved,1
d10-1,U' B2 D' F' B2 D L' U' B2 U,10,-1,kociemba-first,kociemba-two-phase,two-phase pruning tables,0,1,0,10,0.005,10,10,0,0,6,-1,-1,-1,103608320,solved,1
d10-2,F2 B' U2 R' D F2 R' L2 F2 B,10,-1,kociemba-first,kociemba-two-phase,two-phase pruning tables,0,1,0,16,0.136,430,430,0,0,9,-1,-1,-1,103608320,solved,1
d10-3,R D2 R L2 B L F L2 B2 D,10,-1,kociemba-first,kociemba-two-phase,two-phase pruning tables,0,1,0,24,2.548,36222,36222,0,0,9,-1,-1,-1,103608320,solved,1
d10-4,L' B2 U R U2 D2 L' B' D B',10,-1,kociemba-first,kociemba-two-phase,two-phase pruning tables,0,1,0,22,0.938,6734,6734,0,0,10,-1,-1,-1,103608320,solved,1
d10-5,L2 U2 D' B2 D R2 F' L D R',10,-1,kociemba-first,kociemba-two-phase,two-phase pruning tables,0,1,0,10,0.003,10,10,0,0,4,-1,-1,-1,103608320,solved,1
d10-6,L2 U2 B' R U D' R2 L D' L',10,-1,kociemba-first,kociemba-two-phase,two-phase pruning tables,0,1,0,21,0.276,3009,3009,0,0,8,-1,-1,-1,103608320,solved,1
d10-7,B' R2 U L' D F2 U' L2 B' L,10,-1,kociemba-first,kociemba-two-phase,two-phase pruning tables,0,1,0,25,24.642,318665,318665,0,0,10,-1,-1,-1,103608320,solved,1
d10-8,U2 L F' R' F' L2 F2 D2 L' B,10,-1,kociemba-first,kociemba-two-phase,two-phase pruning tables,0,1,0,20,0.556,7348,7348,0,0,6,-1,-1,-1,103608320,solved,1
d10-9,U' B2 R2 L2 D' R' B D F2 B2,10,-1,kociemba-first,kociemba-two-phase,two-phase pruning tables,0,1,0,10,0.004,10,10,0,0,5,-1,-1,-1,103612416,solved,1
d15-0,B U D2 B R2 B2 L2 U D R2 F' L' D B R,15,-1,kociemba-first,kociemba-two-phase,two-phase pruning tables,0,1,0,23,0.715,4777,4777,0,0,10,-1,-1,-1,103612416,solved,1
d15-1,B' U' D2 L D' L2 D L F' L' B2 L' B2 U2 L2,15,-1,kociemba-first,kociemba-two-phase,two-phase pruning tables,0,1,0,24,0.732,6585,6585,0,0,10,-1,-1,-1,103612416,solved,1
d15-2,L' F D L2 B R' D F' D' B' L2 D' L' B2 D2,15,-1,kociemba-first,kociemba-two-phase,two-phase pruning tables,0,1,0,24,5.316,57943,57943,0,0,10,-1,-1,-1,103612416,solved,1
d15-3,R2 D2 R U' R' B R' B R2 L' B R' L' D' L',15,-1,kociemba-first,kociemba-two-phase,two-phase pruning tables,0,1,0,23,14.073,188518,188518,0,0,9,-1,-1,-1,103612416,solved,1
