# cpu,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz
# logical_cores,8
# ram_gb,7.75
# compiler,MSVC 1944
# build,Release/RelWithDebInfo (NDEBUG)
# timestamp,2026-08-27T00:06:18
case_id,scramble,scramble_length,known_optimal,config,solver,heuristic,order_moves,threads,time_limit_ms,solution_length,milliseconds,nodes_expanded,nodes_generated,nodes_pruned,moves_skipped,iterations,initial_heuristic,final_threshold,proven_lower_bound,peak_memory_bytes,status,verified
d12-0,B U B D B' D' B2 R2 F2 L' U B,12,12,ida-1-thread,korf-ida*,max of 3 PDBs,0,1,300000,12,69.121,26185,348996,322814,122259,4,9,12,12,103628800,optimal,1
d12-1,L2 B L B' D' F' D2 F' B' U B U',12,12,ida-1-thread,korf-ida*,max of 3 PDBs,0,1,300000,12,26.940,9658,128536,118882,45228,5,8,12,12,103628800,optimal,1
d12-2,B D2 L B' D2 B' L2 F' L U' R' B',12,12,ida-1-thread,korf-ida*,max of 3 PDBs,0,1,300000,12,78.042,24399,326118,301722,112992,4,9,12,12,103628800,optimal,1
d13-0,R' U' L2 F D2 R D' R2 U' L F L2 D',13,13,ida-1-thread,korf-ida*,max of 3 PDBs,0,1,300000,13,444.560,146482,1955452,1808974,681099,5,9,13,13,103628800,optimal,1
d13-1,R F D R L B' L2 F' B' D2 B' D' R',13,13,ida-1-thread,korf-ida*,max of 3 PDBs,0,1,300000,13,232.322,75735,1011523,935792,351615,5,9,13,13,103628800,optimal,1
d13-2,U' R2 B L' F2 D' L U L' B2 U F2 B,13,13,ida-1-thread,korf-ida*,max of 3 PDBs,0,1,300000,13,427.979,158848,2122920,1964076,736242,5,9,13,13,103628800,optimal,1
d14-0,R U2 D L B2 U2 D' F2 R' B2 L' D2 B2 U,14,14,ida-1-thread,korf-ida*,max of 3 PDBs,0,1,300000,14,4921.237,1769573,23614559,21844991,8237640,6,9,14,14,103628800,optimal,1
d14-1,L D F' L' U' D2 F' L U' L2 B2 D' B2 D',14,14,ida-1-thread,korf-ida*,max of 3 PDBs,0,1,300000,14,8716.278,2979834,39756537,36776709,13880373,7,8,14,14,103628800,optimal,1
d14-2,R2 B' L D2 B2 L2 F B' L' U2 R F R L',14,14,ida-1-thread,korf-ida*,max of 3 PDBs,0,1,300000,14,10746.339,4179679,55653440,51473767,19580682,7,8,14,14,103628800,optimal,1
d12-0,B U B D B' D' B2 R2 F2 L' U B,12,12,ida-2-thread,korf-ida*,max of 3 PDBs,0,2,300000,12,42.224,26185,348996,322814,122259,4,9,12,12,103763968,optimal,1
